district,voter_21,Rvoter_21,Dvoter_21,d_type,voter_22,Rvoter_22,Dvoter_22,oth21,oth22,v_up_down,d_up_down,r_up_down,oth_up_down,dvr21,dvr22,part_control21,part_control22,party_switch
STH001,32587.0,7298.0,20431.0,State House,37874.0,9233.0,22784.0,4858.0,5857.0,-5287.0,-2353.0,-1935.0,-999.0,13133.0,13551.0,Dem,Dem,False
STH002,37962.0,11367.0,21313.0,State House,42797.0,14269.0,22747.0,5282.0,5781.0,-4835.0,-1434.0,-2902.0,-499.0,9946.0,8478.0,Dem,Dem,False
STH003,45713.0,18581.0,21210.0,State House,47820.0,19858.0,21862.0,5922.0,6100.0,-2107.0,-652.0,-1277.0,-178.0,2629.0,2004.0,Dem,Dem,False
STH004,38911.0,18890.0,14794.0,State House,42736.0,21301.0,15236.0,5227.0,6199.0,-3825.0,-442.0,-2411.0,-972.0,-4096.0,-6065.0,GOP,GOP,False
STH005,40626.0,20902.0,13798.0,State House,41277.0,21665.0,13766.0,5926.0,5846.0,-651.0,32.0,-763.0,80.0,-7104.0,-7899.0,GOP,GOP,False
STH006,41060.0,21732.0,14212.0,State House,41299.0,22244.0,13823.0,5116.0,5232.0,-239.0,389.0,-512.0,-116.0,-7520.0,-8421.0,GOP,GOP,False
STH007,40305.0,15416.0,19487.0,State House,43961.0,17960.0,20013.0,5402.0,5988.0,-3656.0,-526.0,-2544.0,-586.0,4071.0,2053.0,Dem,Dem,False
STH008,38957.0,23447.0,10429.0,State House,46628.0,27195.0,13594.0,5081.0,5839.0,-7671.0,-3165.0,-3748.0,-758.0,-13018.0,-13601.0,GOP,GOP,False
STH009,37414.0,16323.0,16742.0,State House,40676.0,18629.0,17201.0,4349.0,4846.0,-3262.0,-459.0,-2306.0,-497.0,419.0,-1428.0,Dem,GOP,True
STH010,37607.0,16912.0,15225.0,State House,40500.0,2194.0,33165.0,5470.0,5141.0,-2893.0,-17940.0,14718.0,329.0,-1687.0,30971.0,GOP,Dem,True
STH011,41705.0,22575.0,13438.0,State House,42714.0,23853.0,13146.0,5692.0,5715.0,-1009.0,292.0,-1278.0,-23.0,-9137.0,-10707.0,GOP,GOP,False
STH012,55561.0,30871.0,16307.0,State House,48279.0,26151.0,14632.0,8383.0,7496.0,7282.0,1675.0,4720.0,887.0,-14564.0,-11519.0,GOP,GOP,False
STH013,42667.0,19817.0,15322.0,State House,43087.0,19521.0,15829.0,7528.0,7737.0,-420.0,-507.0,296.0,-209.0,-4495.0,-3692.0,GOP,GOP,False
STH014,43228.0,21368.0,16152.0,State House,44053.0,20222.0,17783.0,5708.0,6048.0,-825.0,-1631.0,1146.0,-340.0,-5216.0,-2439.0,GOP,GOP,False
STH015,41093.0,20099.0,15985.0,State House,45104.0,21770.0,17596.0,5009.0,5738.0,-4011.0,-1611.0,-1671.0,-729.0,-4114.0,-4174.0,GOP,GOP,False
STH016,41694.0,14003.0,22077.0,State House,42780.0,14278.0,22727.0,5614.0,5775.0,-1086.0,-650.0,-275.0,-161.0,8074.0,8449.0,Dem,Dem,False
STH017,37885.0,20754.0,12335.0,State House,40468.0,24522.0,10517.0,4796.0,5429.0,-2583.0,1818.0,-3768.0,-633.0,-8419.0,-14005.0,GOP,GOP,False
STH018,41753.0,15699.0,19718.0,State House,42462.0,16066.0,19847.0,6336.0,6549.0,-709.0,-129.0,-367.0,-213.0,4019.0,3781.0,Dem,Dem,False
STH019,42140.0,4526.0,31305.0,State House,43422.0,5036.0,31556.0,6309.0,6830.0,-1282.0,-251.0,-510.0,-521.0,26779.0,26520.0,Dem,Dem,False
STH020,47103.0,10641.0,29319.0,State House,44847.0,13667.0,24480.0,7143.0,6700.0,2256.0,4839.0,-3026.0,443.0,18678.0,10813.0,Dem,Dem,False
STH021,46500.0,11357.0,28373.0,State House,48672.0,12637.0,28716.0,6770.0,7319.0,-2172.0,-343.0,-1280.0,-549.0,17016.0,16079.0,Dem,Dem,False
STH022,34442.0,5746.0,21280.0,State House,30750.0,5474.0,18499.0,7416.0,6777.0,3692.0,2781.0,272.0,639.0,15534.0,13025.0,Dem,Dem,False
STH023,50428.0,6028.0,34706.0,State House,50105.0,5954.0,34751.0,9694.0,9400.0,323.0,-45.0,74.0,294.0,28678.0,28797.0,Dem,Dem,False
STH024,49101.0,3293.0,39412.0,State House,49958.0,3839.0,38876.0,6396.0,7243.0,-857.0,536.0,-546.0,-847.0,36119.0,35037.0,Dem,Dem,False
STH025,43226.0,13338.0,24013.0,State House,45778.0,14193.0,25253.0,5875.0,6332.0,-2552.0,-1240.0,-855.0,-457.0,10675.0,11060.0,Dem,Dem,False
STH026,44919.0,20447.0,16847.0,State House,44630.0,17929.0,18772.0,7625.0,7929.0,289.0,-1925.0,2518.0,-304.0,-3600.0,843.0,GOP,Dem,True
STH027,43005.0,9288.0,27578.0,State House,43171.0,11695.0,25008.0,6139.0,6468.0,-166.0,2570.0,-2407.0,-329.0,18290.0,13313.0,Dem,Dem,False
STH028,52741.0,23591.0,20149.0,State House,46916.0,22077.0,17392.0,9001.0,7447.0,5825.0,2757.0,1514.0,1554.0,-3442.0,-4685.0,GOP,GOP,False
STH029,49540.0,22049.0,19680.0,State House,53198.0,21176.0,22296.0,7811.0,9726.0,-3658.0,-2616.0,873.0,-1915.0,-2369.0,1120.0,GOP,Dem,True
STH030,50202.0,20992.0,22265.0,State House,47543.0,19782.0,20117.0,6945.0,7644.0,2659.0,2148.0,1210.0,-699.0,1273.0,335.0,Dem,Dem,False
STH031,52466.0,18972.0,23144.0,State House,55752.0,21245.0,23524.0,10350.0,10983.0,-3286.0,-380.0,-2273.0,-633.0,4172.0,2279.0,Dem,Dem,False
